Bus Name ,x,y
q5,42.6761472,-75.4961251
q6,42.6761758,-75.495818
q065,42.6762004,-75.4956181
q7,42.6762191,-75.4953848
q8,42.6762527,-75.4950227
q9,42.6762872,-75.4946163
q10,42.6763177,-75.4942462
q11,42.6763463,-75.4938667
q12,42.6763808,-75.4935072
q13,42.6764104,-75.4931559
q14,42.6764548,-75.4926302
q0141,42.6767851,-75.4926597
q0142,42.6770513,-75.4926825
q0143,42.6773451,-75.4927133
q0144,42.6776705,-75.4927441
q0145,42.6778529,-75.4927656
q15,42.6764903,-75.4921795
q16,42.6765169,-75.4918174
q17,42.6765465,-75.4914527
q18,42.6765692,-75.4910798
q19,42.6765839,-75.4906225
q20,42.6766007,-75.4899547
r1,42.67101,-75.4951756
r2,42.6712979,-75.4942355
r021,42.6711323,-75.4942824
r3,42.6716115,-75.4932162
r4,42.6718935,-75.4923257
r5,42.6722288,-75.4924437
r6,42.6726261,-75.4927669
r7,42.6730738,-75.4928273
r8,42.6734534,-75.4928783
r9,42.6737946,-75.4928836
r10,42.6741732,-75.4925738
r11,42.6743625,-75.4923204
r12,42.6747362,-75.4917973
r13,42.6750626,-75.4913279
r14,42.675244,-75.4909001
r15,42.6752864,-75.490424
r16,42.675103,-75.4896449
r17,42.674889,-75.4889247
r18,42.674748,-75.4881535
r19,42.6747619,-75.4872416
r20,42.6748723,-75.4864182
r21,42.675034,-75.4856658
r22,42.6751484,-75.4851079
r23,42.6756029,-75.4849349
r24,42.6760229,-75.4852031
r25,42.6767417,-75.4853547
r0251,42.676652,-75.4857624
r27,42.6775147,-75.4837815
r28,42.6774269,-75.4827945
r29,42.6774762,-75.4816693
r30,42.6777188,-75.4804932
r31,42.6778578,-75.4797368
r32,42.6777503,-75.4791346
r33,42.6776005,-75.4782334
r34,42.6775305,-75.477308
r35,42.6777099,-75.4766173
r36,42.677918,-75.475818
r37,42.6781151,-75.4750201
rr05,42.6753505,-75.4841423
rr1,42.6754333,-75.4837561
rr2,42.6755043,-75.4834154
rr021,42.6750438,-75.4830453
rr3,42.6759529,-75.4832639
rr4,42.6761186,-75.4820904
rr5,42.6761915,-75.4812375
